ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
-4.057920342977258e-05	463.16	9.323529411764707	54.14705882352941	36.705882352941174	0.08844686490957651	34	432	498	17.0	328.0	222.0	378	8.0	15.0	11.0	511	0	93.5826575756073	1750	4496.2969534397125	756	56.8	
-0.005091971413107603	466.26	8.64864864864865	42.4054054054054	28.45945945945946	0.08844686490957651	35	446	491	19.0	181.0	124.0	378	7.0	15.0	11.0	522	0	96.27286839485168	1800	4592.569821834564	781	56.611111111111114	
-0.005193137381879638	476.56	8.886363636363637	51.38636363636363	34.68181818181818	0.08844686490957651	36	453	497	20.0	478.0	335.0	387	8.0	15.0	11.0	533	0	120.62316679954529	1850	4713.1929886341095	811	56.16216216216216	
-0.003570311649399832	480.02	8.515151515151516	36.84848484848485	24.636363636363637	0.08844686490957651	37	470	499	13.0	142.0	93.0	444	8.0	15.0	11.0	545	0	86.1716959476471	1900	4799.364684581757	830	56.315789473684205	
-0.005335845320798618	480.38	8.906976744186046	45.83720930232558	30.790697674418606	0.08844686490957651	38	477	500	16.0	195.0	133.0	448	8.0	15.0	11.0	558	0	115.89518857002258	1950	4915.259873151779	860	55.8974358974359	
-0.003907651306687681	478.14	8.818181818181818	45.45454545454545	30.5	0.08844686490957651	39	483	500	19.0	226.0	158.0	443	8.0	15.0	11.0	574	0	118.52124571800232	2000	5033.7811188697815	887	55.65	
-0.0013199226499778336	481.12	8.578947368421053	37.26315789473684	25.0	0.08844686490957651	40	495	500	18.0	143.0	100.0	456	8.0	15.0	11.0	585	0	100.33009386062622	2050	5134.111212730408	914	55.41463414634146	
-0.0022595485543205557	479.3	9.157894736842104	53.23684210526316	35.78947368421053	0.08844686490957651	41	508	500	16.0	409.0	279.0	451	7.0	15.0	11.0	595	0	101.1960711479187	2100	5235.307283878326	940	55.238095238095234	
-0.004820715268048306	476.58	8.818181818181818	37.02272727272727	24.90909090909091	0.08844686490957651	42	514	498	19.0	142.0	93.0	452	8.0	15.0	11.0	606	0	115.04722952842712	2150	5350.3545134067535	972	54.7906976744186	
-0.005520654964738925	474.32	8.820512820512821	34.51282051282051	23.307692307692307	0.08844686490957651	43	526	498	20.0	142.0	93.0	457	8.0	15.0	11.0	617	0	99.30961632728577	2200	5449.664129734039	997	54.68181818181818	
-0.004697821652161594	474.96	8.238095238095237	32.095238095238095	21.547619047619047	0.08844686490957651	44	534	498	14.0	142.0	97.0	454	7.0	15.0	11.0	631	0	107.61356282234192	2250	5557.277692556381	1024	54.48888888888889	
-0.005598611809507719	473.2	8.772727272727273	38.54545454545455	26.15909090909091	0.08844686490957651	45	541	497	16.0	161.0	110.0	449	7.0	15.0	11.0	649	0	114.66452646255493	2300	5671.942219018936	1047	54.47826086956521	
-0.0029485996943699557	474.14	9.975609756097562	43.53658536585366	29.975609756097562	0.08844686490957651	46	551	498	20.0	170.0	119.0	435	8.0	15.0	11.0	662	0	108.74688816070557	2350	5780.689107179642	1074	54.29787234042553	
-0.004764890478045926	471.58	8.837837837837839	36.351351351351354	24.756756756756758	0.08844686490957651	47	565	498	14.0	142.0	93.0	435	7.0	15.0	11.0	675	0	94.82633876800537	2400	5875.515445947647	1097	54.291666666666664	
0.0007485623603454262	470.94	9.45	45.05	30.75	0.08844686490957651	48	576	499	20.0	199.0	130.0	435	7.0	15.0	11.0	689	0	106.10574722290039	2450	5981.6211931705475	1122	54.204081632653065	
-0.0020499780854722604	466.94	10.105263157894736	47.86842105263158	32.6578947368421	0.08844686490957651	49	589	495	20.0	173.0	116.0	430	7.0	15.0	11.0	701	0	99.97403383255005	2500	6081.5952270030975	1146	54.160000000000004	
-0.0003184525108009009	463.98	9.64102564102564	41.30769230769231	28.256410256410255	0.08844686490957651	50	600	497	16.0	142.0	93.0	423	8.0	15.0	11.0	716	0	104.82869338989258	2550	6186.42392039299	1170	54.11764705882353	
-0.004654082483056912	465.44	9.378378378378379	43.108108108108105	29.405405405405407	0.08844686490957651	51	613	497	16.0	188.0	129.0	428	8.0	15.0	11.0	726	0	100.07913446426392	2600	6286.503054857254	1196	54.0	
